date,region,channel,sku,category,segment,qty,unit_price,discount_rate,unit_cost,revenue,tavg,tmax,tmin,precipitation,spend,clicks_mkt,impr_mkt,section,slot_rank,impr_merch,clicks_merch,campaign,platform,is_event,stock_on_hand,lead_time_days
2025-01-01,SEOUL,web,SKU-001,Outer,VIP,7,30000,0.05,15600,199500,2.0,5.0,-0.1,1,0,190,9318,MAIN,1,2432,32,AlwaysOn,google,0,307,14
2025-01-01,BUSAN,app,SKU-002,Outer,RETURN,8,37000,0.05,20720,281200,2.7,6.2,1.0,1,0,202,9532,MAIN,1,2157,20,AlwaysOn,meta,0,269,14
2025-01-01,SEOUL,app,SKU-003,Inner,RETURN,12,44000,0.05,26400,501600,0.5,3.8,-1.2,1,0,191,9783,MAIN,1,2184,20,AlwaysOn,meta,0,224,14
2025-01-01,BUSAN,web,SKU-004,Inner,VIP,15,51000,0.05,32640,726750,3.4,6.0,1.3,1,0,219,9863,MAIN,1,2365,28,AlwaysOn,google,0,208,7
2025-01-01,SEOUL,app,SKU-005,Kids,VIP,11,30000,0.05,20400,313500,1.4,5.0,-0.8,1,0,212,9636,MAIN,1,2170,23,AlwaysOn,meta,0,326,7
2025-01-01,BUSAN,web,SKU-006,Kids,VIP,10,37000,0.05,19240,351500,2.9,5.5,0.6,1,0,233,10406,MAIN,1,2387,28,AlwaysOn,google,0,367,14
2025-01-01,SEOUL,app,SKU-007,Shoes,VIP,15,44000,0.05,24640,627000,0.1,2.8,-2.0,1,0,189,10325,MAIN,1,2157,28,AlwaysOn,meta,0,347,7
2025-01-01,BUSAN,web,SKU-008,Acc,NEW,6,51000,0.05,30600,290700,3.6,6.9,2.0,1,0,195,9861,MAIN,1,2391,31,AlwaysOn,google,0,204,5
2025-01-02,BUSAN,app,SKU-001,Outer,VIP,7,30000,0.03,15600,203700,4.0,7.2,2.5,0,0,212,9768,MAIN,3,1634,9,AlwaysOn,meta,0,300,14
2025-01-02,SEOUL,web,SKU-002,Outer,NEW,9,37000,0.03,20720,323010,0.4,3.4,-2.1,0,0,204,9328,MAIN,3,1486,12,AlwaysOn,google,0,260,14
2025-01-02,BUSAN,web,SKU-003,Inner,VIP,15,44000,0.03,26400,640200,3.0,5.9,0.6,0,0,229,10411,MAIN,3,1570,15,AlwaysOn,google,0,209,14
2025-01-02,SEOUL,app,SKU-004,Inner,NEW,12,51000,0.03,32640,593640,2.1,4.8,0.3,0,0,197,9768,MAIN,3,1446,11,AlwaysOn,meta,0,196,7
2025-01-02,BUSAN,web,SKU-005,Kids,NEW,13,30000,0.03,20400,378300,3.8,6.7,1.4,0,0,204,10482,MAIN,3,1482,5,AlwaysOn,google,0,313,7
2025-01-02,SEOUL,app,SKU-006,Kids,NEW,9,37000,0.03,19240,323010,1.0,3.9,-0.8,0,0,224,10663,MAIN,3,1431,12,AlwaysOn,meta,0,358,14
2025-01-02,BUSAN,web,SKU-007,Shoes,NEW,10,44000,0.03,24640,426800,4.0,7.1,2.4,0,0,191,9882,MAIN,3,1505,16,AlwaysOn,google,0,337,7
